iter	Passed	Remaining
0	4	462
1	9	446
2	12	415
3	15	380
4	19	370
5	22	360
6	26	351
7	29	339
8	32	332
9	36	332
10	40	326
11	43	320
12	46	313
13	50	309
14	53	305
15	57	299
16	60	294
17	63	289
18	67	285
19	70	281
20	73	276
21	77	273
22	80	268
23	83	264
24	86	259
25	89	255
26	93	252
27	96	249
28	100	245
29	102	239
30	104	233
31	106	227
32	108	220
33	110	214
34	111	207
35	113	202
36	115	196
37	116	190
38	118	184
39	119	179
40	121	174
41	121	167
42	123	163
43	124	158
44	125	153
45	126	148
46	127	143
47	128	139
48	129	134
49	130	130
50	131	126
51	132	122
52	133	118
53	134	114
54	134	110
55	135	106
56	136	103
57	137	99
58	138	96
59	139	92
60	140	89
61	140	86
62	141	83
63	142	80
64	143	77
65	143	74
66	144	71
67	145	68
68	146	65
69	147	63
70	147	60
71	148	57
72	149	55
73	150	52
74	151	50
75	152	48
76	153	45
77	154	43
78	154	41
79	155	38
80	156	36
81	157	34
82	158	32
83	158	30
84	159	28
85	160	26
86	161	24
87	161	22
88	162	20
89	163	18
90	164	16
91	165	14
92	166	12
93	166	10
94	167	8
95	168	7
96	169	5
97	170	3
98	171	1
99	171	0
