iter	Passed	Remaining
0	145	144968
1	148	74250
2	152	50798
3	156	38989
4	160	31945
5	163	27120
6	167	23744
7	170	21183
8	174	19240
9	178	17626
10	181	16332
11	184	15231
12	188	14328
13	192	13531
14	195	12835
15	198	12212
16	201	11679
17	205	11227
18	209	10810
19	212	10423
20	216	10087
21	220	9795
22	224	9524
23	227	9257
24	232	9050
25	236	8842
26	239	8631
27	242	8428
28	246	8250
29	248	8044
30	251	7849
31	253	7664
32	255	7487
33	257	7328
34	260	7181
35	262	7039
36	265	6899
37	267	6762
38	269	6634
39	271	6513
40	273	6396
41	276	6299
42	278	6197
43	280	6098
44	282	6000
45	284	5907
46	286	5818
47	289	5744
48	292	5673
49	294	5588
50	295	5503
51	297	5423
52	299	5346
53	301	5273
54	302	5197
55	304	5127
56	305	5055
57	307	4998
58	309	4929
59	310	4864
60	311	4797
61	312	4732
62	313	4668
63	314	4606
64	316	4547
65	317	4486
66	318	4437
67	319	4383
68	320	4330
69	321	4277
70	322	4225
71	323	4175
72	324	4126
73	325	4076
74	326	4027
75	327	3980
76	328	3934
77	328	3888
78	329	3844
79	330	3801
80	331	3759
81	332	3719
82	332	3678
83	334	3644
84	335	3610
85	336	3576
86	337	3543
87	338	3509
88	339	3477
89	340	3445
90	341	3414
91	342	3382
92	343	3352
93	344	3323
94	345	3293
95	346	3267
96	349	3254
97	350	3228
98	351	3201
99	352	3174
100	353	3149
101	355	3128
102	356	3104
103	357	3078
104	358	3053
105	359	3030
106	360	3007
107	361	2985
108	363	2970
109	364	2950
110	365	2928
111	366	2907
112	367	2885
113	368	2864
114	369	2843
115	370	2821
116	371	2800
117	372	2781
118	373	2762
119	374	2744
120	375	2726
121	376	2706
122	377	2693
123	379	2677
124	380	2662
125	381	2646
126	382	2627
127	383	2610
128	384	2594
129	385	2576
130	385	2560
131	386	2543
132	387	2527
133	388	2511
134	389	2494
135	390	2478
136	391	2464
137	392	2454
138	394	2442
139	395	2428
140	396	2415
141	397	2399
142	397	2385
143	399	2372
144	399	2358
145	400	2344
146	401	2330
147	402	2316
148	403	2303
149	404	2290
150	405	2278
151	406	2267
152	408	2259
153	409	2248
154	410	2237
155	411	2226
156	412	2215
157	413	2203
158	414	2192
159	415	2180
160	415	2166
161	416	2155
162	417	2144
163	418	2133
164	419	2122
165	420	2111
166	421	2102
167	422	2094
168	424	2085
169	425	2076
170	426	2067
171	427	2057
172	428	2047
173	429	2037
174	430	2027
175	430	2017
176	431	2007
177	432	1997
178	433	1987
179	434	1977
180	435	1968
181	436	1962
182	437	1955
183	439	1947
184	440	1939
185	441	1930
186	442	1922
187	443	1914
188	444	1905
189	445	1897
190	445	1888
191	446	1880
192	447	1871
193	448	1863
194	449	1854
195	450	1846
196	451	1839
197	452	1832
198	453	1826
199	454	1819
200	455	1811
201	456	1803
202	457	1796
203	458	1789
204	459	1782
205	460	1774
206	461	1767
207	462	1760
208	463	1752
209	464	1745
210	465	1738
211	467	1737
212	468	1731
213	469	1725
214	470	1718
215	471	1712
216	472	1705
217	473	1699
218	474	1692
219	475	1685
220	476	1678
221	477	1672
222	478	1665
223	479	1659
224	480	1653
225	481	1649
226	483	1644
227	484	1639
228	485	1634
229	486	1629
230	487	1622
231	488	1616
232	489	1610
233	489	1603
234	491	1598
235	492	1593
236	493	1587
237	494	1582
238	495	1577
239	496	1572
240	498	1570
241	499	1565
242	500	1560
243	501	1554
244	502	1548
245	503	1543
246	504	1537
247	505	1532
248	506	1527
249	507	1522
250	508	1516
251	509	1511
252	510	1508
253	512	1503
254	513	1499
255	514	1494
256	515	1489
257	516	1484
258	516	1478
259	517	1473
260	518	1468
261	519	1463
262	520	1458
263	521	1453
264	522	1448
265	522	1443
266	523	1438
267	524	1433
268	525	1429
269	527	1425
270	527	1420
271	528	1415
272	529	1410
273	530	1405
274	531	1401
275	532	1396
276	533	1391
277	534	1387
278	535	1382
279	535	1378
280	536	1373
281	537	1369
282	538	1365
283	540	1361
284	541	1358
285	542	1353
286	543	1349
287	544	1345
288	545	1341
289	546	1337
290	547	1333
291	548	1329
292	549	1325
293	550	1321
294	551	1318
295	552	1313
296	553	1309
297	554	1305
298	555	1302
299	556	1299
300	557	1295
301	559	1291
302	559	1287
303	560	1283
304	561	1279
305	562	1274
306	562	1270
307	563	1266
308	564	1262
309	565	1258
310	566	1254
311	567	1250
312	567	1246
313	568	1242
314	570	1239
315	571	1237
316	572	1234
317	573	1230
318	574	1226
319	575	1222
320	576	1218
321	577	1215
322	578	1211
323	578	1207
324	579	1203
325	580	1200
326	581	1196
